,title,url,date,coin,relevance,strength,sentiment
0,bitcoin : is bitcoin mining is legal ? ,https://www.marca.com/en/lifestyle/2022/04/10/62531631268e3ead338b4583.html,2022-04-10,bitcoin,0.6314197182655334,1,0
1,missed out on ethereum ? here what to buy now,https://www.fool.com/investing/2022/04/10/missed-out-on-ethereum-heres-what-to-buy-now/?source=iedfolrf0000001,2022-04-10,ethereum,0.5412914156913757,1,0
2,missed out on ethereum ? here what to buy now,https://www.fool.com/investing/2022/04/10/missed-out-on-ethereum-heres-what-to-buy-now/,2022-04-10,ethereum,0.5412914156913757,1,0
3,bitcoin cash price reaches $327 . 50 on exchanges ( bch ) ,https://www.etfdailynews.com/2022/04/10/bitcoin-cash-price-reaches-327-50-on-exchanges-bch/,2022-04-10,bitcoin cash,0.5085272060928275,1,1
4,crypto cash out ! here who won bitcoin bonus money at ufc 273,https://www.mmamania.com/2022/4/10/23019171/crypto-cash-out-heres-who-won-bitcoin-bonus-money-at-ufc-273,2022-04-10,bitcoin cash,0.4981782659260243,1,0
5,bitcoin : is bitcoin mining is legal ? ,https://www.marca.com/en/lifestyle/2022/04/10/62531631268e3ead338b4583.html,2022-04-10,bitcoin sv,0.6314197182655334,1,0
6,"weekend watch : bitcoin maintains $42k , monero at 3 - month high after 8 % spike",https://cryptopotato.com/weekend-watch-bitcoin-maintains-42k-monero-at-3-month-high-after-8-spike/,2022-04-10,monero,0.44302698969841,1,1
7,cardano trading 12 % lower over last week ( ada ) ,https://www.etfdailynews.com/2022/04/10/cardano-trading-12-lower-over-last-week-ada/,2022-04-10,cardano,0.4294575154781341,1,0
8,here why cardano price faces an uphill battle to $1 . 60,https://www.fxstreet.com/cryptocurrencies/news/heres-why-cardano-price-faces-an-uphill-battle-to-160-202204100457,2022-04-10,cardano,0.416109561920166,1,0
9,stellar market capitalization tops $5 . 09 billion ( xlm ) ,https://www.etfdailynews.com/2022/04/10/stellar-market-capitalization-tops-5-09-billion-xlm/,2022-04-10,stellar,0.4442426562309265,1,1
10,how to buy bitcoin in 2022,https://baltimorepostexaminer.com/how-to-buy-bitcoin-in-2022/2022/04/07,2022-04-08,bitcoin,0.5470399856567383,1,0
11,bitcoin and ethereum edge cautiously higher,https://www.proactiveinvestors.com/companies/news/979236/bitcoin-and-ethereum-edge-cautiously-higher-979236.html,2022-04-08,ethereum,0.3786515593528748,1,1
12,bitcoin and ethereum edge cautiously higher,https://www.proactiveinvestors.co.uk/companies/news/979236/bitcoin-and-ethereum-edge-cautiously-higher-979236.html,2022-04-08,ethereum,0.3786515593528748,1,1
13,how to buy bitcoin with cash app | gobankingrates,https://www.gobankingrates.com/investing/crypto/cash-app-bitcoin/,2022-04-08,bitcoin cash,0.4800441743681846,1,0
14,how to buy bitcoin in 2022,https://baltimorepostexaminer.com/how-to-buy-bitcoin-in-2022/2022/04/07,2022-04-08,bitcoin sv,0.5470399856567383,1,0
15,three reasons why polkadot price could plunge to $15,https://www.fxstreet.com/cryptocurrencies/news/three-reasons-why-polkadot-price-could-plunge-to-15-202204081543,2022-04-08,polkadot,0.4721222519874573,1,-1
16,tezos achieves market cap of $2 . 88 billion ( xtz ) ,https://www.etfdailynews.com/2022/04/08/tezos-achieves-market-cap-of-2-88-billion-xtz/,2022-04-08,tezos,0.5183447003364563,1,1
17,tezos india concludes shecrypt campaign,https://www.businesstoday.in/crypto/story/tezos-india-concludes-shecrypt-campaign-329188-2022-04-08,2022-04-08,tezos,0.469474732875824,1,0
18,xp . network joins tezos ecosystem as corporate baker,https://coinrivet.com/xp-network-joins-tezos-ecosystem-as-corporate-baker/,2022-04-08,tezos,0.4198358952999115,1,0
19,"mstable usd ( musd ) 1 - day volume tops $135 , 848 . 00",https://www.etfdailynews.com/2022/04/08/mstable-usd-musd-1-day-volume-tops-135848-00/,2022-04-08,usd coin,0.2830534194806022,1,0
20,what is the fastest and cheapest way to buy ripple ? ,https://www.theportugalnews.com/news/2022-04-08/what-is-the-fastest-and-cheapest-way-to-buy-ripple/66293,2022-04-08,ripple,0.4460413455963135,1,0
21,the pandemic ripple effects on health have begun . what can we do now ? ,https://blackdoctor.org/the-pandemics-ripple-effects-on-health/,2022-04-08,ripple,0.4259269833564758,1,0
22,can cardano price rally to $1 . 6 after major strategic partnership,https://www.fxstreet.com/cryptocurrencies/news/can-cardano-price-rally-to-16-after-major-strategic-partnership-202204080913,2022-04-08,cardano,0.4199923276901245,1,0
23,stellar : a magical ride ( 2022 ) ,https://english.chosun.com/site/data/html_dir/2022/04/08/2022040800480.html,2022-04-08,stellar,0.4791215360164642,1,0
24,"bitcoin falls through $40 , 000",https://www.forexlive.com/Cryptocurrency/bitcoin-falls-through-40000-20220422/,2022-04-22,bitcoin,0.5137733221054077,0,-1
25,top cash for your old belongings,https://news.yahoo.com/top-cash-old-belongings-175117286.html,2022-04-22,bitcoin cash,0.3891955070508305,0,0
26,"bitcoin falls through $40 , 000",https://www.forexlive.com/Cryptocurrency/bitcoin-falls-through-40000-20220422/,2022-04-22,bitcoin sv,0.5137733221054077,0,-1
27,polkadot price is in a critical spot as the dot price has fallen to $18 . ,https://www.fxstreet.com/cryptocurrencies/news/polkadot-price-is-in-a-critical-spot-as-the-dot-price-has-fallen-to-18-202204212332,2022-04-22,polkadot,0.4070829749107361,0,-1
28,"cryptocurrencies price prediction : bitcoin , polkadot and shiba inu â european wrap 22 april",https://www.fxstreet.com/cryptocurrencies/news/cryptocurrencies-price-prediction-bitcoin-polkadot-and-shiba-inu-european-wrap-22-april-202204221224,2022-04-22,polkadot,0.3839655151346633,0,0
29,"binance coin market is booming worldwide | zenith chain , worldcoin , coinpanion",https://www.digitaljournal.com/pr/binance-coin-market-is-booming-worldwide-zenith-chain-worldcoin-coinpanion,2022-04-22,binance coin,0.3740034609190261,0,1
30,where to buy decred ( dcr ) coin : it up 17 % today as majority of coins trade sideways,https://invezz.com/news/2022/04/22/where-to-buy-decred-dcr-coin-its-up-17-today-as-majority-of-coins-trade-sideways/,2022-04-22,binance coin,0.3255933872492953,0,1
31,"ready , steady , crypto ! pacman frog ( pac ) to follow binance coin ( bnb ) and cardano ( ada ) footsteps . ",https://www.theportugalnews.com/news/2022-04-22/ready-steady-crypto-pacman-frog-pac-to-follow-binance-coin-bnb-and-cardano-ada-footsteps/66553,2022-04-22,binance coin,0.3156429538376679,0,0
32,binance says $5 . 8m recovered from $550m ronin attack,https://cryptobriefing.com/binance-says-5-8m-recovered-from-550m-ronin-attack/,2022-04-22,binance coin,0.2984803249084143,0,1
33,prince charles said to be  at the end of his tether  with harry,https://www.coventrytelegraph.net/news/uk-world-news/prince-charles-said-at-end-23749117,2022-04-22,tether,0.4623179413269724,0,0
34,prince charles at  end of his tether  with prince harry | woman & home,https://www.womanandhome.com/us/life/royal-news/prince-charles-at-end-of-his-tether-with-prince-harry-after-agreeing-to-windsor-meeting-on-one-condition/,2022-04-22,tether,0.3538580536842346,0,0
35,where to buy decred ( dcr ) coin : it up 17 % today as majority of coins trade sideways,https://invezz.com/news/2022/04/22/where-to-buy-decred-dcr-coin-its-up-17-today-as-majority-of-coins-trade-sideways/,2022-04-22,usd coin,0.3124653273734925,0,1
36,bitcoin ( btc / usd ) latest $42k resistance coming under renew ... ,https://menafn.com/1104069860/Bitcoin-BTCUSD-Latest-42k-Resistance-Coming-Under-Renewed-Pressure&source=138,2022-04-22,usd coin,0.2890865860784801,0,-1
37,"apecoin , monero , terra are among 5 best performing cryptos in past week",https://markets.businessinsider.com/news/currencies/crypto-prices-apecoin-monero-terra-5-best-performing-cryptos-bitcoin-2022-4,2022-04-22,monero,0.412185937166214,0,1
38,desert dash returns to mission fitness,https://news.yahoo.com/desert-dash-returns-mission-fitness-154700352.html,2022-04-22,dash,0.526531994342804,0,1
39,here where to buy zcash ( zec ) coin : it has jumped by 11 % over the past week,https://invezz.com/news/2022/04/22/heres-where-to-buy-zcash-zec-coin-it-has-jumped-by-11-over-the-past-week/,2022-04-22,zcash,0.4421517814488281,0,1
40,ripple leads way as most big cryptocurrencies post decreases,https://www.marketwatch.com/story/ripple-leads-way-as-most-big-cryptocurrencies-post-decreases-01650636026-716a761de6ed,2022-04-22,ripple,0.4003236293792725,0,1
41,federal research funding has positive  ripple effects  ,https://phys.org/news/2022-04-federal-funding-positive-ripple-effects.html,2022-04-22,ripple,0.3899449706077576,0,1
42,cardano price could rally beyond $1 on one condition,https://www.fxstreet.com/cryptocurrencies/news/cardano-price-could-rally-beyond-1-on-one-condition-202204211905,2022-04-22,cardano,0.3797967731952667,0,1
